seller_region,country_code,brand,asin,reporting_date,top_bsr_position,bot_bsr_position,sales,performance,units,discounts,cogs,refunds,sde1,sessions_mobile,sessions_browser,sessions,pageviews_mobile,pageviews_browser,pageviews,topbsr_sales,botbsr_sales,units_sales,refunds_sales,sessionsmobile_sales,pageviews_sales,topbsr_sde1,botbsr_sde1,units_sde1,refunds_sde1,sessionsmobile_sde1,pageviews_sde1,topbsr_units,botbsr_units,units_units,refunds_units,sessionsmobile_units,pageviews_units
eu,uk,incite-nutrition,B00RXIIW7K,2023-08-23,4.0,19.0,2216.69,0.608591711,253,-31.27,-318.78,-26.65,841.68000000000006,230,190,420,363,244,607,0.0018044922835398726,0.0085713383468143944,0.114134137,-0.01202243,0.103758306,0.273831704,0.0047523999619808,0.0225738998194088,0.30058929759528558,-0.031662864746697078,0.273262997813896,0.72117669423058639,0.015810276679841896,0.075098814229249009,1.0,-0.105335968,0.909090909,2.399209486
eu,uk,incite-nutrition,B00RXIIW7K,2023-08-25,7.0,41.0,357.83,0.099821346,41,-5.4,-51.67,-8.05,121.32,100,96,196,155,157,312,0.019562362015482213,0.11457954894782439,0.114579549,-0.022496716,0.279462315,0.871922421,0.057698648203099244,0.33794922518958131,0.33794922518958131,-0.06635344543356414,0.82426640290141784,2.5717111770524235,0.17073170731707318,1.0,1.0,-0.196341463,2.43902439,7.609756098
eu,uk,incite-nutrition,B00RXIIW7K,2023-07-09,5.0,34.0,1744.32,0.503043953,199,-30.5,-254.72,-16.17,693.94,178,155,333,282,215,497,0.0028664465235736561,0.019491836360300864,0.114084572,-0.009270088,0.102045496,0.284924784,0.0072052338818918054,0.048995590396864276,0.28676830849929386,-0.0233017263740381,0.2565063261953483,0.71620024786004544,0.025125628140703519,0.17085427135678391,1.0,-0.081256281,0.894472362,2.497487437
eu,uk,incite-nutrition,B00RXIIW7K,2023-09-29,2.0,14.0,3094.22,0.889838412,418,-34.35,-530.87,-36.51,764.78,483,322,805,714,421,1135,0.00064636645099572752,0.0045245651569700927,0.135090588,-0.01179942,0.156097498,0.366812961,0.002615131148827114,0.018305918041789795,0.54656241010486672,-0.047739219121838962,0.63155417244174794,1.484086926959387,0.0047846889952153108,0.033492822966507178,1.0,-0.087344498,1.155502392,2.715311005
eu,uk,incite-nutrition,B00RXIIW7K,2023-09-02,7.0,31.0,1575.18,0.452599797,180,-6.39,-228.6,-26.16,695.94999999999993,184,121,305,270,154,424,0.0044439365659797612,0.019680290506481797,0.114272655,-0.016607626,0.116812047,0.269175586,0.010058193835764064,0.044543429844098,0.25863927006250453,-0.037588907249083987,0.26438680939722686,0.60923916948056622,0.03888888888888889,0.17222222222222222,1.0,-0.145333333,1.022222222,2.355555556
eu,uk,incite-nutrition,B00RXIIW7K,2023-12-11,6.0,80.0,5126.12,1.457451248,680,-44.34,-863.6,-15.15,736.7,818,614,1432,1310,847,2157,0.0011704759155072453,0.015606345540096603,0.132653937,-0.002955452,0.159574883,0.420786092,0.00814442785394326,0.10859237138591013,0.92303515678023618,-0.020564680331206731,1.1103569974209311,2.9279218134926022,0.0088235294117647058,0.11764705882352941,1.0,-0.022279412,1.202941176,3.172058824
eu,uk,incite-nutrition,B00RXIIW7K,2023-07-15,3.0,41.0,1432.16,0.401353346,164,-20.25,-209.92,-7.07,545.47,183,128,311,296,162,458,0.0020947380180985362,0.028628086247346664,0.114512345,-0.004936599,0.127779019,0.319796671,0.0054998441710818191,0.075164537004784857,0.30065814801913943,-0.012961299429849487,0.33549049443599094,0.8396428767851577,0.018292682926829267,0.25,1.0,-0.043109756,1.115853659,2.792682927
eu,uk,incite-nutrition,B00RXIIW7K,2023-11-05,4.0,49.0,4824.75,1.338241922,555,-50.38,-704.85,-23.93,1805.35,591,382,973,905,506,1411,0.00082905850044043728,0.010155966630395358,0.115031867,-0.004959842,0.122493393,0.292450386,0.0022156368571191183,0.027141551499709198,0.30741961392527767,-0.013255047497715125,0.32736034563934974,0.781565901348769,0.0072072072072072073,0.088288288288288289,1.0,-0.043117117,1.064864865,2.542342342
eu,uk,incite-nutrition,B00RXIIW7K,2023-07-06,3.0,21.0,1802.72,0.496337355,206,-31.5,-263.67,-7.5,647.6400000000001,229,160,389,353,196,549,0.001664151948167214,0.011649063637170498,0.114271767,-0.00416038,0.127030265,0.304539807,0.0046322030757828415,0.032425421530479892,0.31807794453708843,-0.011580507689457105,0.3535915014514236,0.84769316286826,0.014563106796116505,0.10194174757281553,1.0,-0.036407767,1.111650485,2.665048544
eu,uk,incite-nutrition,B00RXIIW7K,2023-10-27,2.0,35.0,4932.32,1.39849114,671,-70.49,-852.17,-37.23,966.50000000000011,821,562,1383,1301,758,2059,0.00040548869497518414,0.0070960521620657222,0.136041457,-0.007548172,0.166453109,0.417450611,0.0020693222969477496,0.036213140196585614,0.6942576306259699,-0.038520434557682351,0.84945680289705117,2.1303673047077081,0.0029806259314456036,0.05216095380029806,1.0,-0.055484352,1.223546945,3.068554396
